Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
184,12.286,11.0609,6.3643,0.8425,4.6662
185,12.3594,11.1227,6.4425,0.7632,4.5999
186,12.4365,11.1877,6.5249,0.6801,4.5301
187,12.5177,11.2562,6.6116,0.5929,4.4568
188,12.6033,11.3284,6.7031,0.5018,4.3799
189,12.6936,11.4047,6.7996,0.4073,4.2992
190,12.7889,11.4854,6.9015,0.3109,4.2146
191,12.8864,11.5662,7.0073,0.2224,4.1219
192,12.9832,11.6427,7.1152,0.1744,4.0175
193,13.0793,11.7156,7.2251,0.2107,3.9023
194,13.1748,11.7852,7.3368,0.3105,3.7773
195,13.2697,11.8521,7.4502,0.4377,3.6435
196,13.3642,11.9165,7.5652,0.5782,3.5022
197,13.4581,11.979,7.6817,0.7272,3.3542
198,13.5516,12.0399,7.7994,0.882,3.2009
199,13.6445,12.0995,7.9181,1.0411,3.0433
200,13.7368,12.1579,8.0374,1.2031,2.8826
201,13.8283,12.2154,8.157,1.3667,2.7199
202,13.9188,12.2721,8.2763,1.5309,2.5566
203,14.0081,12.3281,8.3949,1.6943,2.3938
204,14.096,12.3832,8.5122,1.8559,2.2327
205,14.182,12.4375,8.6275,2.0145,2.0745
206,14.2658,12.4908,8.7402,2.1689,1.9204
207,14.347,12.543,8.8495,2.3178,1.7718
208,14.4251,12.5937,8.9546,2.4602,1.6299
209,14.4997,12.6427,9.0548,2.5948,1.4958
210,14.5702,12.6898,9.1491,2.7203,1.371
211,14.6365,12.7346,9.2376,2.837,1.2551
212,14.699,12.7774,9.3208,2.9459,1.1472
213,14.7576,12.8178,9.3987,3.0473,1.047
214,14.8125,12.856,9.4714,3.1415,0.9541
215,14.8637,12.8919,9.5391,3.2287,0.8684
216,14.9113,12.9254,9.6018,3.3092,0.7895
217,14.9552,12.9566,9.6598,3.3833,0.7174
218,14.9958,12.9856,9.7132,3.4512,0.6516
219,15.033,13.0122,9.762,3.5132,0.592
220,15.0669,13.0367,9.8066,3.5696,0.5383
221,15.0977,13.059,9.847,3.6206,0.4902
222,15.1256,13.0792,9.8835,3.6666,0.4475
223,15.1506,13.0974,9.9162,3.7076,0.4098
224,15.1729,13.1137,9.9453,3.7442,0.377
225,15.1926,13.1281,9.971,3.7764,0.3487
226,15.2099,13.1408,9.9936,3.8046,0.3244
227,15.2249,13.1518,10.0132,3.8291,0.304
228,15.2378,13.1613,10.03,3.8501,0.287
229,15.2487,13.1693,10.0442,3.8678,0.273
230,15.2578,13.1761,10.0561,3.8826,0.2617
231,15.2653,13.1816,10.0658,3.8947,0.2528
232,15.2713,13.186,10.0736,3.9044,0.2458
233,15.2759,13.1894,10.0797,3.912,0.2404
234,15.2794,13.192,10.0843,3.9177,0.2365
235,15.2819,13.1939,10.0875,3.9217,0.2338
236,15.2836,13.1951,10.0897,3.9245,0.2319
237,15.2846,13.1959,10.091,3.9261,0.2308
238,15.2852,13.1963,10.0917,3.927,0.2303
239,15.2854,13.1964,10.092,3.9273,0.2301
240,15.2854,13.1964,10.092,3.9273,0.23
241,15.2854,13.1964,10.092,3.9273,0.23
242,15.2854,13.1964,10.092,3.9273,0.23
243,15.2854,13.1964,10.092,3.9273,0.23
244,15.2854,13.1964,10.092,3.9273,0.23
245,15.2854,13.1964,10.092,3.9273,0.23
246,15.2854,13.1964,10.092,3.9273,0.23
247,15.2854,13.1964,10.092,3.9273,0.23
248,15.2854,13.1964,10.092,3.9273,0.23
249,15.2854,13.1964,10.092,3.9273,0.23
250,15.2854,13.1964,10.092,3.9273,0.23
