Frame,Pillar1,Pillar2,Pillar3,Pillar4,Pillar5
239,132.6044,121.64,146.6428,175.7958,66.2303
240,131.8301,120.9364,145.9105,174.9748,70.8068
241,131.141,120.3098,145.258,174.2415,75.2698
242,130.5427,119.7655,144.691,173.6042,79.4032
243,130.0409,119.3088,144.2151,173.0697,83.0177
244,129.6411,118.9448,143.8359,172.6444,85.9677
245,129.3489,118.6787,143.5587,172.3341,88.1506
246,129.1696,118.5153,143.3888,172.1444,89.497
247,129.1087,118.4598,143.331,172.0801,89.9554
248,129.1087,118.4598,143.331,172.0801,89.9554
249,129.1087,118.4598,143.331,172.0801,89.9554
250,129.1087,118.4598,143.331,172.0801,89.9554
